Sample	Sample_ID_Full	Join_ID	sample.title	UMAP1	UMAP2
GSM2402854_5684819014_R03C02.tsv	GSM2402854_5684819014_R03C02	GSM2402854	GBM, G34	2.29475095943582	-2.12103144852564
GSM2402855_5684819014_R05C02.tsv	GSM2402855_5684819014_R05C02	GSM2402855	DMG, K27	4.76411464885843	-2.23867635456964
GSM2402856_5684819014_R06C02.tsv	GSM2402856_5684819014_R06C02	GSM2402856	DMG, K27	4.71983364299906	-2.51409463612482
GSM2402857_5684819013_R05C02.tsv	GSM2402857_5684819013_R05C02	GSM2402857	DMG, K27	4.69062259868753	-2.27424673764154
GSM2402858_5684819014_R03C01.tsv	GSM2402858_5684819014_R03C01	GSM2402858	DMG, K27	4.39080551342142	-2.67902068821833
GSM2402859_5684819014_R01C02.tsv	GSM2402859_5684819014_R01C02	GSM2402859	GBM, G34	2.27882888988626	-2.19162826268122
GSM2402860_5911815001_R04C01.tsv	GSM2402860_5911815001_R04C01	GSM2402860	GBM, G34	2.36696079448831	-2.10957913128778
GSM2402861_5911815001_R03C01.tsv	GSM2402861_5911815001_R03C01	GSM2402861	DMG, K27	4.37580087856424	-2.65617089001581
GSM2402862_5911815001_R02C01.tsv	GSM2402862_5911815001_R02C01	GSM2402862	GBM, G34	2.42209866718424	-2.17105202404901
GSM2402863_5684819013_R04C01.tsv	GSM2402863_5684819013_R04C01	GSM2402863	DMG, K27	4.17739418224466	-2.32524614064142
GSM2402864_5684819013_R03C02.tsv	GSM2402864_5684819013_R03C02	GSM2402864	DMG, K27	4.23950985149515	-2.63759093014643
GSM2402865_5684819014_R02C02.tsv	GSM2402865_5684819014_R02C02	GSM2402865	DMG, K27	4.27748420910013	-2.50592307774469
GSM2402866_5684819013_R02C01.tsv	GSM2402866_5684819013_R02C01	GSM2402866	ATRT, SHH	13.7996781177915	5.20746107371405
GSM2402867_5684819013_R05C01.tsv	GSM2402867_5684819013_R05C01	GSM2402867	GBM, G34	2.38199713901651	-2.15293960301325
GSM2402868_5911815023_R01C01.tsv	GSM2402868_5911815023_R01C01	GSM2402868	CONTR, CEBM	-0.512682854374525	-14.0513575526898
GSM2402869_5911815023_R02C01.tsv	GSM2402869_5911815023_R02C01	GSM2402869	CONTR, CEBM	-0.526632785042402	-14.0651362392132
GSM2402870_5684819026_R01C02.tsv	GSM2402870_5684819026_R01C02	GSM2402870	GBM, MYCN	2.86914303974283	-0.669735357445926
GSM2402871_5911815001_R03C02.tsv	GSM2402871_5911815001_R03C02	GSM2402871	DMG, K27	4.56059625820291	-2.39752082554743
GSM2402872_5911815023_R04C01.tsv	GSM2402872_5911815023_R04C01	GSM2402872	CONTR, CEBM	-0.455666064461347	-13.9770815822308
GSM2402873_5911815023_R05C01.tsv	GSM2402873_5911815023_R05C01	GSM2402873	CONTR, CEBM	-0.448691873987791	-13.9489148112957
GSM2402874_5911815023_R06C01.tsv	GSM2402874_5911815023_R06C01	GSM2402874	CONTR, CEBM	-0.420419513424513	-13.9369509669964
GSM2402875_5684819026_R02C01.tsv	GSM2402875_5684819026_R02C01	GSM2402875	DMG, K27	4.32923582271707	-1.97190563408777
GSM2402876_6164621155_R05C02.tsv	GSM2402876_6164621155_R05C02	GSM2402876	GBM, G34	2.39203623012674	-2.11670176712915
GSM2402877_6164621081_R06C02.tsv	GSM2402877_6164621081_R06C02	GSM2402877	GBM, G34	2.20708444790018	-2.23648838726923
GSM2402878_6164621131_R02C02.tsv	GSM2402878_6164621131_R02C02	GSM2402878	GBM, G34	2.3281357593931	-2.17530588833734
GSM2402879_6164621081_R06C01.tsv	GSM2402879_6164621081_R06C01	GSM2402879	DMG, K27	4.29623106197489	-2.00527684418604
GSM2402880_6164621081_R04C02.tsv	GSM2402880_6164621081_R04C02	GSM2402880	GBM, G34	2.2336225815214	-1.84504334656641
GSM2402881_6164621155_R03C01.tsv	GSM2402881_6164621155_R03C01	GSM2402881	DMG, K27	4.45967367366922	-2.54021601406977
GSM2402882_6164621131_R02C01.tsv	GSM2402882_6164621131_R02C01	GSM2402882	GBM, G34	2.22815468982828	-2.21365670887873
GSM2402883_6164621131_R05C02.tsv	GSM2402883_6164621131_R05C02	GSM2402883	GBM, G34	2.28351333812845	-2.21039633480951
GSM2402884_6969568005_R02C01.tsv	GSM2402884_6969568005_R02C01	GSM2402884	LGG, PA PF	-1.54617997928488	3.30071611674383
GSM2402885_6929689168_R02C02.tsv	GSM2402885_6929689168_R02C02	GSM2402885	LGG, PA PF	-1.55167159362662	3.27389378817633
GSM2402886_6969568005_R03C01.tsv	GSM2402886_6969568005_R03C01	GSM2402886	CONTR, REACT	2.09240868763101	6.19279499323919
GSM2402887_6969568005_R04C01.tsv	GSM2402887_6969568005_R04C01	GSM2402887	LGG, PA PF	3.05962279514444	7.25327415736273
GSM2402888_6969568005_R05C01.tsv	GSM2402888_6969568005_R05C01	GSM2402888	LGG, PA PF	-0.862238913019773	3.34079737933233
GSM2402889_6969568005_R06C01.tsv	GSM2402889_6969568005_R06C01	GSM2402889	LGG, PA PF	2.86044624523294	6.88960094721869
GSM2402890_6929689168_R03C02.tsv	GSM2402890_6929689168_R03C02	GSM2402890	LGG, PA PF	2.98419001773966	7.25498647959784
GSM2402891_6969568005_R01C02.tsv	GSM2402891_6969568005_R01C02	GSM2402891	LGG, PA PF	2.87324598507059	6.98920364649847
GSM2402892_6164621144_R06C02.tsv	GSM2402892_6164621144_R06C02	GSM2402892	LGG, PA MID	-1.01561501546728	2.62571378024176
GSM2402893_6969568005_R03C02.tsv	GSM2402893_6969568005_R03C02	GSM2402893	LGG, PA PF	2.92144015506876	7.09938593180731
GSM2402894_6969568005_R04C02.tsv	GSM2402894_6969568005_R04C02	GSM2402894	LGG, PA PF	3.09077933506143	7.1435982731159
GSM2402895_6969568005_R05C02.tsv	GSM2402895_6969568005_R05C02	GSM2402895	LGG, PA MID	3.20260694698465	7.02117224009588
GSM2402896_6969568005_R06C02.tsv	GSM2402896_6969568005_R06C02	GSM2402896	LGG, PA PF	2.43550422863138	6.75186128886297
GSM2402897_6929689153_R02C01.tsv	GSM2402897_6929689153_R02C01	GSM2402897	LGG, PA MID	-1.00721517129767	2.75550813944891
GSM2402898_6929689153_R06C01.tsv	GSM2402898_6929689153_R06C01	GSM2402898	LGG, PA PF	-1.26168593688833	3.0541960743244
GSM2402899_6929689153_R01C02.tsv	GSM2402899_6929689153_R01C02	GSM2402899	LGG, PA PF	-1.50566121860373	3.2971159961994
GSM2402900_6929689153_R02C02.tsv	GSM2402900_6929689153_R02C02	GSM2402900	LGG, PA PF	2.80688765720499	6.95518703730658
GSM2402901_6929689153_R04C02.tsv	GSM2402901_6929689153_R04C02	GSM2402901	LGG, PA PF	3.05502966121805	7.29136534007147
GSM2402902_6929689153_R05C02.tsv	GSM2402902_6929689153_R05C02	GSM2402902	LGG, PA PF	3.00608518795145	7.25716467173651
GSM2402903_6929689153_R06C02.tsv	GSM2402903_6929689153_R06C02	GSM2402903	LGG, PA PF	2.70322635845316	6.96097440989569
GSM2402904_6929689161_R01C01.tsv	GSM2402904_6929689161_R01C01	GSM2402904	LGG, PA PF	3.1591379948057	7.27685900004461
GSM2402905_6929689161_R04C01.tsv	GSM2402905_6929689161_R04C01	GSM2402905	LGG, PA MID	-0.986501007517454	2.8778249767597
GSM2402906_6929689161_R05C01.tsv	GSM2402906_6929689161_R05C01	GSM2402906	LGG, PA PF	-1.26912888809073	3.298368647414
GSM2402907_6929689161_R06C01.tsv	GSM2402907_6929689161_R06C01	GSM2402907	LGG, PA PF	3.06691482738626	7.2709815052326
GSM2402908_6929689161_R01C02.tsv	GSM2402908_6929689161_R01C02	GSM2402908	LGG, RGNT	-1.17443498893606	3.05747289927557
GSM2402909_6929689168_R05C02.tsv	GSM2402909_6929689168_R05C02	GSM2402909	LGG, PA PF	3.1767366238035	7.2600705173786
GSM2402910_6929689168_R01C01.tsv	GSM2402910_6929689168_R01C01	GSM2402910	MB, WNT	-9.43905517383444	-17.8111918422405
GSM2402911_6929689152_R06C02.tsv	GSM2402911_6929689152_R06C02	GSM2402911	MB, WNT	-9.43360492511618	-17.7972720119183
GSM2402912_6929689168_R05C01.tsv	GSM2402912_6929689168_R05C01	GSM2402912	MB, WNT	-9.43535491748678	-17.8019240352337
